날짜,오늘의 요약,감정지수,브레인 덤프,신체_수면시간,신체_수면의질,신체_카페인,신체_활동여부,업무_업무강도,업무_야근여부,업무_동료관계,환경_날씨,여가_취미유형,여가_취미만족도
2027-04-05,"잠이 안 온다, 일 생각이 계속",5.1,오늘 중요한 미팅에서 말을 못 했다. 하고 싶은 말이 있었는데 타이밍을 못 잡았다. 집에 와서 후회가 됐다.,7.1,3,2,1,2,0,4.0,맑음,친구만남,4.0
2027-04-06,오늘도 질문 못 하고 퇴근,3.3,요즘 잠을 잘 못 자는 것 같다. 피곤한데 눈이 떠지고 일 생각이 자꾸 난다. 좀 쉬고 싶다.,6.5,3,2,0,4,0,3.0,비,게임,3.0
2027-04-07,"실수했다, 빨리 배워야겠다",4.7,오늘 선배한테 혼났다. 맞는 말인데 왜인지 눈물이 날 것 같았다. 집에 오는 길에 많이 울었다.,7.6,4,1,0,2,1,2.0,맑음,없음,2.0
2027-04-08,"적응 중, 아직 모르는 게 너무 많다",5.3,회사에서 내 자리가 없는 것 같다는 느낌이 든다. 다들 바쁜데 나만 겉도는 것 같아서 불안하다.,7.3,4,2,0,3,0,3.0,맑음,친구만남,4.0
2027-04-09,내 자리가 없는 것 같은 느낌,5.6,내가 이 일을 잘 하고 있는 건지 모르겠다. 실수도 많고 눈치도 보이고 퇴근하고 나서도 계속 생각이 난다.,6.9,3,2,0,2,0,3.0,흐림,운동,3.0
2027-04-10,"주말 루틴, 나를 위한 시간",9.9,오랜만에 가족이랑 밥을 먹었다. 별 얘기 없이 그냥 같이 있는 것만으로도 충전이 되는 것 같다.,8.7,5,1,0,0,0,0.0,맑음,"유튜브, 게임",3.0
2027-04-11,"늦잠 자고 유튜브, 완벽한 주말",9.5,오랜만에 집 청소를 했다. 깨끗해지니까 기분이 좋아졌다. 저녁에 맛있는 거 시켜먹으면서 영화 봤다.,8.7,5,1,1,0,0,0.0,맑음,"유튜브, 운동",4.0
2027-04-12,아직 갈 길이 멀다,3.1,요즘 잠을 잘 못 자는 것 같다. 피곤한데 눈이 떠지고 일 생각이 자꾸 난다. 좀 쉬고 싶다.,6.6,3,2,1,3,0,2.0,비,게임,3.0
2027-04-13,"혼났다, 맞는 말인데 괜히 속상하다",4.2,오늘 중요한 미팅에서 말을 못 했다. 하고 싶은 말이 있었는데 타이밍을 못 잡았다. 집에 와서 후회가 됐다.,6.1,3,2,1,3,0,4.0,맑음,친구만남,2.0
2027-04-14,오늘도 질문 못 하고 퇴근,3.7,요즘 잠을 잘 못 자는 것 같다. 피곤한데 눈이 떠지고 일 생각이 자꾸 난다. 좀 쉬고 싶다.,5.9,4,2,0,3,0,3.0,맑음,없음,1.0
2027-04-15,"잠이 안 온다, 일 생각이 계속",4.3,오늘 중요한 미팅에서 말을 못 했다. 하고 싶은 말이 있었는데 타이밍을 못 잡았다. 집에 와서 후회가 됐다.,7.6,4,1,1,3,1,3.0,맑음,독서,3.0
2027-04-16,눈치 보이는 하루,6.3,오늘 선배한테 혼났다. 맞는 말인데 왜인지 눈물이 날 것 같았다. 집에 오는 길에 많이 울었다.,7.8,4,2,1,3,0,4.0,흐림,게임,3.0
2027-04-17,좋아하는 카페에서 책 읽기,10.0,오늘은 그냥 쉬었다. 아무 생각 없이 유튜브 보다가 낮잠도 자고 오랜만에 제대로 쉰 것 같다.,9.5,5,0,1,0,0,0.0,맑음,"운동, 독서",4.0
2027-04-18,오늘 하루 나를 위해 썼다,9.5,친구 만나서 오랜만에 수다 떨었다. 회사 얘기 하다 보니 나만 힘든 게 아니구나 싶어서 좀 위로됐다.,8.3,4,1,1,0,0,0.0,맑음,"친구만남, 운동",5.0
2027-04-19,"실수했다, 빨리 배워야겠다",4.7,오늘 선배한테 혼났다. 맞는 말인데 왜인지 눈물이 날 것 같았다. 집에 오는 길에 많이 울었다.,7.7,3,2,1,3,0,3.0,맑음,없음,2.0
2027-04-20,아직 갈 길이 멀다,4.0,요즘 잠을 잘 못 자는 것 같다. 피곤한데 눈이 떠지고 일 생각이 자꾸 난다. 좀 쉬고 싶다.,,3,2,1,3,1,2.0,흐림,운동,2.0
